category,month,year,clicks
Accessories for kitchen appliances,10,2021,59479
Accessories for kitchen appliances,9,2021,46719
Accessories for kitchen appliances,4,2021,55455
Accessories for kitchen appliances,6,2021,41856
Accessories for kitchen appliances,11,2021,104045
Accessories for kitchen appliances,1,2021,81676
Accessories for kitchen appliances,3,2021,64537
Accessories for kitchen appliances,12,2021,118898
Accessories for kitchen appliances,2,2021,59529
Accessories for kitchen appliances,5,2021,52882
Accessories for kitchen appliances,8,2021,43049
Accessories for kitchen appliances,7,2021,46075
