category,month,year,clicks
"Eye, Ear & Nose Medicines",6,2021,50560
"Eye, Ear & Nose Medicines",2,2021,60821
"Eye, Ear & Nose Medicines",11,2021,60300
"Eye, Ear & Nose Medicines",10,2021,53860
"Eye, Ear & Nose Medicines",8,2021,48186
"Eye, Ear & Nose Medicines",5,2021,60405
"Eye, Ear & Nose Medicines",7,2021,49842
"Eye, Ear & Nose Medicines",12,2021,56470
"Eye, Ear & Nose Medicines",4,2021,61113
"Eye, Ear & Nose Medicines",9,2021,48354
"Eye, Ear & Nose Medicines",1,2021,66167
"Eye, Ear & Nose Medicines",3,2021,63313
