category,month,year,clicks
Shower Products & Bath Products,4,2021,44644
Shower Products & Bath Products,8,2021,50186
Shower Products & Bath Products,2,2021,43084
Shower Products & Bath Products,1,2021,52893
Shower Products & Bath Products,3,2021,48936
Shower Products & Bath Products,9,2021,48686
Shower Products & Bath Products,10,2021,54180
Shower Products & Bath Products,6,2021,43145
Shower Products & Bath Products,12,2021,82490
Shower Products & Bath Products,11,2021,73705
Shower Products & Bath Products,5,2021,48089
Shower Products & Bath Products,7,2021,54662
