category,month,year,clicks
Ski helmets & snowboard helmets,6,2021,10753.0
Ski helmets & snowboard helmets,10,2021,54997.0
Ski helmets & snowboard helmets,5,2021,14873.0
Ski helmets & snowboard helmets,8,2021,18344.0
Ski helmets & snowboard helmets,4,2021,30200.0
Ski helmets & snowboard helmets,3,2021,
Ski helmets & snowboard helmets,1,2021,230441.0
Ski helmets & snowboard helmets,7,2021,14149.0
Ski helmets & snowboard helmets,2,2021,141912.0
Ski helmets & snowboard helmets,12,2021,162410.0
Ski helmets & snowboard helmets,9,2021,27774.0
Ski helmets & snowboard helmets,11,2021,125451.0
