category,month,year,clicks
Razor Blades & Shaving Heads,12,2021,75069
Razor Blades & Shaving Heads,2,2021,70284
Razor Blades & Shaving Heads,11,2021,97742
Razor Blades & Shaving Heads,4,2021,64519
Razor Blades & Shaving Heads,10,2021,74582
Razor Blades & Shaving Heads,6,2021,64821
Razor Blades & Shaving Heads,3,2021,75867
Razor Blades & Shaving Heads,5,2021,71770
Razor Blades & Shaving Heads,7,2021,84053
Razor Blades & Shaving Heads,9,2021,70107
Razor Blades & Shaving Heads,8,2021,72765
Razor Blades & Shaving Heads,1,2021,95057
