category,month,year,clicks
Rechargeable batteries & batteries,9,2021,59697
Rechargeable batteries & batteries,7,2021,51539
Rechargeable batteries & batteries,11,2021,90987
Rechargeable batteries & batteries,5,2021,53615
Rechargeable batteries & batteries,2,2021,57008
Rechargeable batteries & batteries,4,2021,52954
Rechargeable batteries & batteries,8,2021,53652
Rechargeable batteries & batteries,10,2021,76199
Rechargeable batteries & batteries,6,2021,41282
Rechargeable batteries & batteries,3,2021,60309
Rechargeable batteries & batteries,1,2021,85839
Rechargeable batteries & batteries,12,2021,93313
